cpu_percent,mem_total,mem_used,mem_free,mem_percent,bytes_sent,bytes_recv,timestamp,ts_writerow
0.2,2000,132,1066,15.6,2445319,57752880,2021-03-10 19:38:51.565504,2021-03-10 19:40:21.164398
0.4,2000,132,1066,15.6,2450724,57756992,2021-03-10 19:40:51.708571,2021-03-10 19:41:21.168676
0.4,2000,132,1066,15.6,2450724,57756992,2021-03-10 19:40:51.708571,2021-03-10 19:42:21.173015
0.2,2000,132,1066,15.6,2456187,57761094,2021-03-10 19:42:51.848546,2021-03-10 19:43:21.180461
0.2,2000,132,1066,15.6,2456187,57761094,2021-03-10 19:42:51.848546,2021-03-10 19:44:21.186337
0.3,2000,132,1066,15.6,2462090,57765360,2021-03-10 19:44:51.873698,2021-03-10 19:45:21.192812
0.3,2000,132,1066,15.6,2462090,57765360,2021-03-10 19:44:51.873698,2021-03-10 19:46:21.197700
0.3,2000,132,1066,15.6,2467849,57769634,2021-03-10 19:46:52.024093,2021-03-10 19:47:21.203362
0.3,2000,132,1066,15.6,2467849,57769634,2021-03-10 19:46:52.024093,2021-03-10 19:48:21.207953
0.3,2000,132,1065,15.6,2473322,57773574,2021-03-10 19:48:52.068114,2021-03-10 19:49:21.212883
0.3,2000,132,1065,15.6,2473322,57773574,2021-03-10 19:48:52.068114,2021-03-10 19:50:21.217544
0.3,2000,132,1066,15.6,2478751,57777782,2021-03-10 19:50:52.210763,2021-03-10 19:51:21.221298
0.3,2000,132,1066,15.6,2478751,57777782,2021-03-10 19:50:52.210763,2021-03-10 19:52:21.222511
0.3,2000,132,1065,15.6,2484224,57781948,2021-03-10 19:52:52.208925,2021-03-10 19:53:21.227892
0.3,2000,132,1065,15.6,2484224,57781948,2021-03-10 19:52:52.208925,2021-03-10 19:54:21.231998
0.2,2000,132,1065,15.6,2489843,57786364,2021-03-10 19:54:52.258059,2021-03-10 19:55:21.237474
0.2,2000,132,1065,15.6,2489843,57786364,2021-03-10 19:54:52.258059,2021-03-10 19:56:21.243998
0.2,2000,132,1065,15.6,2494950,57789848,2021-03-10 19:56:52.399647,2021-03-10 19:57:21.249346
0.2,2000,132,1065,15.6,2494950,57789848,2021-03-10 19:56:52.399647,2021-03-10 19:58:21.255960
0.2,2000,132,1065,15.6,2500271,57794188,2021-03-10 19:58:52.539151,2021-03-10 19:59:21.263566
0.2,2000,132,1065,15.6,2500271,57794188,2021-03-10 19:58:52.539151,2021-03-10 20:00:21.270894
0.3,2000,132,1065,15.6,2505748,57798672,2021-03-10 20:00:52.642306,2021-03-10 20:01:21.274614
0.3,2000,132,1065,15.6,2505748,57798672,2021-03-10 20:00:52.642306,2021-03-10 20:02:21.280184
0.3,2000,132,1065,15.6,2511235,57802946,2021-03-10 20:02:52.781090,2021-03-10 20:03:21.286430
0.3,2000,132,1065,15.6,2511235,57802946,2021-03-10 20:02:52.781090,2021-03-10 20:04:21.291826
0.3,2000,132,1066,15.6,2516782,57807278,2021-03-10 20:04:52.819862,2021-03-10 20:05:21.298026
0.3,2000,132,1066,15.6,2516782,57807278,2021-03-10 20:04:52.819862,2021-03-10 20:06:21.304012
0.3,2000,132,1065,15.6,2522077,57811470,2021-03-10 20:06:52.965431,2021-03-10 20:07:21.308849
0.3,2000,132,1065,15.6,2522077,57811470,2021-03-10 20:06:52.965431,2021-03-10 20:08:21.315640
0.3,2000,132,1065,15.6,2527416,57815576,2021-03-10 20:08:53.036169,2021-03-10 20:09:21.321883
0.3,2000,132,1065,15.6,2527416,57815576,2021-03-10 20:08:53.036169,2021-03-10 20:10:21.328368
0.3,2000,132,1065,15.6,2532749,57819586,2021-03-10 20:10:53.102374,2021-03-10 20:11:21.335070
0.3,2000,132,1065,15.6,2532749,57819586,2021-03-10 20:10:53.102374,2021-03-10 20:12:21.340208
0.3,2000,132,1065,15.6,2538012,57823534,2021-03-10 20:12:53.154625,2021-03-10 20:13:21.346314
0.3,2000,132,1065,15.6,2538012,57823534,2021-03-10 20:12:53.154625,2021-03-10 20:14:21.352834
0.2,2000,132,1065,15.6,2543375,57827684,2021-03-10 20:14:53.295967,2021-03-10 20:15:21.359307
0.2,2000,132,1065,15.6,2543375,57827684,2021-03-10 20:14:53.295967,2021-03-10 20:16:21.363154
0.3,2000,132,1065,15.6,2548962,57831952,2021-03-10 20:16:53.311521,2021-03-10 20:17:21.368207
0.3,2000,132,1065,15.6,2548962,57831952,2021-03-10 20:16:53.311521,2021-03-10 20:18:21.372092
0.3,2000,132,1065,15.6,2554529,57836370,2021-03-10 20:18:53.433726,2021-03-10 20:19:21.373100
0.3,2000,132,1065,15.6,2554529,57836370,2021-03-10 20:18:53.433726,2021-03-10 20:20:21.379062
0.3,2000,132,1065,15.6,2559754,57840392,2021-03-10 20:20:53.482790,2021-03-10 20:21:21.385541
0.3,2000,132,1065,15.6,2559754,57840392,2021-03-10 20:20:53.482790,2021-03-10 20:22:21.391913
0.2,2000,132,1065,15.6,2565497,57844724,2021-03-10 20:22:53.631216,2021-03-10 20:23:21.398261
